city,lat,long,temp,humidity,cloud,wind,country,date and time
butaritari,3.0707,172.7902,80.76,81,72,12.37,KI,1615657191
aklavik,68.2191,-135.0107,-22.0,76,20,3.44,CA,1615657442
cayenne,4.9333,-52.3333,84.27,62,40,11.5,GF,1615657196
galveston,29.3669,-94.9669,72.28,78,75,11.5,US,1615657443
kavieng,-2.5744,150.7967,81.3,65,0,4.81,PG,1615657443
chuy,-33.6971,-53.4616,75.61,55,53,10.56,UY,1615657165
nyimba,-14.5566,30.8149,68.76,96,100,5.3,ZM,1615657443
clyde river,70.4692,-68.5914,-4.0,77,75,20.71,CA,1615657251
phanom sarakham,13.7479,101.3553,84.0,83,0,4.92,TH,1615657444
fort payne,34.4442,-85.7197,68.05,68,90,4.34,US,1615657444
okha,53.5739,142.9478,20.62,95,82,10.02,RU,1615657445
jamestown,42.097,-79.2353,34.81,55,1,10.63,US,1615657445
vyartsilya,62.1764,30.693,32.74,97,100,7.14,RU,1615657445
hilo,19.7297,-155.09,66.94,82,1,4.45,US,1615657446
killybegs,54.6333,-8.45,44.92,81,40,26.46,IE,1615657446
cherskiy,68.75,161.3,-7.65,97,100,17.72,RU,1615657244
castro,-24.7911,-50.0119,81.39,48,10,4.03,BR,1615657446
samfya,-11.3649,29.5565,67.03,87,99,3.76,ZM,1615657447
carnarvon,-24.8667,113.6333,80.6,78,40,10.36,AU,1615657447
tasiilaq,65.6145,-37.6368,21.2,79,75,26.46,GL,1615657220
alamogordo,32.8995,-105.9603,48.99,19,1,18.41,US,1615657356
tuktoyaktuk,69.4541,-133.0374,-11.2,77,90,5.75,CA,1615657178
ostrovnoy,68.0531,39.5131,13.32,90,49,16.13,RU,1615657448
balsas,-7.5325,-46.0356,85.82,68,14,0.45,BR,1615657448
kudahuvadhoo,2.6708,72.8944,83.01,74,19,11.14,MV,1615657330
padang,-0.9492,100.3543,77.99,86,99,3.27,ID,1615657449
bredasdorp,-34.5322,20.0403,69.8,78,62,2.3,ZA,1615657163
rikitea,-23.1203,-134.9692,79.66,76,46,7.52,PF,1615657449
qui nhon,13.7667,109.2333,73.98,86,19,10.0,VN,1615657449
youghal,51.95,-7.8506,43.25,70,20,16.11,IE,1615657450
galle,6.0367,80.217,78.91,81,82,3.62,LK,1615657222
srednekolymsk,67.45,153.6833,-25.87,100,90,1.92,RU,1615657450
salalah,17.0151,54.0924,78.8,69,0,3.44,OM,1615657451
mocuba,-16.8392,36.9856,73.27,98,100,3.53,MZ,1615657451
punta arenas,-53.15,-70.9167,51.4,37,40,28.77,CL,1615657449
boende,-0.2167,20.8667,81.25,68,82,1.43,CD,1615657451
faya,18.3851,42.4509,68.0,64,0,4.81,SA,1615657246
bathsheba,13.2167,-59.5167,84.2,58,20,17.27,BB,1615657202
vaini,-21.2,-175.2,69.8,94,40,10.49,TO,1615657452
uvira,-3.4067,29.1458,75.31,78,77,3.06,CD,1615657452
kodiak,57.79,-152.4072,24.8,36,1,8.05,US,1615657453
saint george,37.1041,-113.5841,35.6,93,90,3.44,US,1615657453
pangai,-19.8,-174.35,79.32,70,5,3.8,TO,1615657282
santa vitoria do palmar,-33.5189,-53.3681,76.62,57,59,8.9,BR,1615657453
yantal,56.8471,105.2542,14.2,96,100,6.67,RU,1615657454
mahebourg,-20.4081,57.7,80.6,78,75,5.75,MU,1615657454
san quintin,30.4833,-115.95,57.27,54,16,8.23,MX,1615657454
provideniya,64.3833,-173.3,28.8,96,100,26.19,RU,1615657165
barrow,71.2906,-156.7887,-11.2,64,1,13.8,US,1615657455
porvoo,60.3923,25.6651,33.91,95,99,6.98,FI,1615657455
dikson,73.5069,80.5464,-22.95,97,100,17.92,RU,1615657456
albany,42.6001,-73.9662,37.13,27,0,10.0,US,1615657259
esperance,-33.8667,121.9,53.6,71,61,4.61,AU,1615657456
ushuaia,-54.8,-68.3,46.4,57,40,33.38,AR,1615657359
adrar,20.5022,-10.0711,81.23,9,81,8.39,MR,1615657457
ilheus,-14.7889,-39.0494,86.0,62,40,9.22,BR,1615657364
atuona,-9.8,-139.0333,78.94,61,49,3.91,PF,1615657457
busselton,-33.65,115.3333,53.37,90,0,13.02,AU,1615657457
faanui,-16.4833,-151.75,82.44,69,6,5.21,PF,1615657458
moerai,-22.4333,-151.3333,79.83,77,99,9.84,PF,1615657458
lompoc,34.6391,-120.4579,51.39,76,90,12.66,US,1615657158
thinadhoo,0.5333,72.9333,83.82,71,22,8.59,MV,1615657459
taganak,6.0833,118.3,77.0,94,20,1.14,PH,1615657459
san pedro,14.35,121.0167,78.94,78,75,3.44,PH,1615657459
puerto ayora,-0.7393,-90.3518,82.15,78,40,11.5,EC,1615657460
sao joao da barra,-21.6403,-41.0511,87.8,58,20,6.91,BR,1615657277
mataura,-46.1927,168.8643,45.0,91,0,1.01,NZ,1615657460
nhamunda,-2.1861,-56.7131,89.64,55,72,3.53,BR,1615657461
cabo san lucas,22.8909,-109.9124,69.04,72,1,4.61,MX,1615657461
ewa beach,21.3156,-158.0072,67.05,83,1,6.91,US,1615657461
mayumba,-3.432,10.6554,79.83,89,100,5.66,GA,1615657462
nauta,-4.5061,-73.5757,84.2,82,22,3.51,PE,1615657462
seddon,-37.8068,144.8916,53.26,87,40,12.66,AU,1615657462
yellowknife,62.456,-114.3525,-8.37,64,40,6.91,CA,1615657383
kaitangata,-46.2817,169.8464,52.0,93,0,1.01,NZ,1615657178
ribeira grande,38.5167,-28.7,62.6,88,75,18.41,PT,1615657463
litovko,49.2361,135.1742,22.44,90,0,5.75,RU,1615657463
ada,43.4166,-116.1262,43.36,39,1,5.75,US,1615657463
avarua,-21.2078,-159.775,77.0,88,0,5.75,CK,1615657464
tura,25.5198,90.2201,67.66,60,84,0.43,IN,1615657464
iranshahr,27.2025,60.6848,80.6,34,0,4.61,IR,1615657464
mount gambier,-37.8333,140.7667,42.8,93,40,6.91,AU,1615657245
henderson,36.0397,-114.9819,49.44,66,20,5.75,US,1615657218
la ronge,55.1001,-105.2842,28.4,54,44,8.05,CA,1615657465
trelew,-43.249,-65.3051,79.38,28,0,18.72,AR,1615657334
plettenberg bay,-34.0527,23.3716,68.85,77,78,2.51,ZA,1615657465
georgetown,5.4112,100.3354,78.64,94,40,4.61,MY,1615657466
maceio,-9.6658,-35.7353,84.2,70,75,10.36,BR,1615657459
bluefield,37.2698,-81.2223,50.49,53,1,4.68,US,1615657300
rawson,-43.3002,-65.1023,72.23,48,0,16.64,AR,1615657466
caravelas,-17.7125,-39.2481,84.2,57,0,9.55,BR,1615657466
kavaratti,10.5669,72.642,83.59,65,0,4.52,IN,1615657220
new norfolk,-42.7826,147.0587,41.52,68,2,2.86,AU,1615657467
bilma,18.6853,12.9164,85.95,8,1,5.41,NE,1615657467
ugento,39.9263,18.1574,56.55,88,0,6.91,IT,1615657468
bluff,-46.6,168.3333,45.0,91,3,1.01,NZ,1615657468
port alfred,-33.5906,26.891,73.0,85,81,8.01,ZA,1615657468
bethel,41.3712,-73.414,40.6,24,1,16.11,US,1615657312
mar del plata,-38.0023,-57.5575,78.8,41,0,5.75,AR,1615657469
thompson,55.7435,-97.8558,17.6,57,20,14.97,CA,1615657469
guerrero negro,27.9769,-114.0611,61.07,47,2,18.75,MX,1615657469
esmeraldas,-19.7625,-44.3139,82.4,48,40,10.36,BR,1615657470
gat,31.61,34.7642,55.85,12,0,5.5,IL,1615657186
batesville,35.7698,-91.641,53.53,100,90,3.44,US,1615657470
morondava,-20.2833,44.2833,82.29,71,0,8.99,MG,1615657471
north bend,43.4065,-124.2243,45.91,93,90,9.22,US,1615657471
camacha,33.0833,-16.3333,59.0,88,75,16.11,PT,1615657471
narsaq,60.9167,-46.05,24.8,36,75,1.14,GL,1615657472
cape town,-33.9258,18.4232,70.54,78,75,10.36,ZA,1615657392
severo-kurilsk,50.6789,156.125,27.63,85,61,11.9,RU,1615657472
yefremov,53.1481,38.0992,26.71,94,98,11.9,RU,1615657473
tucuma,-0.1833,-50.05,80.83,85,58,5.64,BR,1615657323
northam,51.0333,-4.2167,44.35,79,89,21.99,GB,1615657473
hobart,-42.8794,147.3294,44.24,66,0,8.05,AU,1615657473
solton,52.8429,86.4787,-8.34,99,68,6.26,RU,1615657474
san luis,-33.295,-66.3356,79.81,44,25,10.89,AR,1615657290
lasa,46.6166,10.7002,46.85,56,20,5.75,IT,1615657474
port elizabeth,-33.918,25.5701,71.6,73,0,8.05,ZA,1615657474
katsuura,35.1333,140.3,49.12,93,40,9.22,JP,1615657475
